trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
206,False,"{'a': 0.99, 'e': 0.5779999999999996}",20,13,1.7868591439099317,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.99, 'e': 0.5759999999999996}",35,11,-76.09281455050822,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
208,False,"{'a': 0.99, 'e': 0.5739999999999996}",20,0,-60.42111449148898,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
209,False,"{'a': 0.99, 'e': 0.5719999999999996}",20,0,-8.936830553860416,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
210,False,"{'a': 0.99, 'e': 0.5699999999999996}",20,0,-26.290568516632877,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
211,False,"{'a': 0.99, 'e': 0.5679999999999996}",25,0,-155.82314681546515,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
212,False,"{'a': 0.99, 'e': 0.5659999999999996}",25,0,0.02859048277952203,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
213,False,"{'a': 0.99, 'e': 0.5639999999999996}",20,12,14.189871411005182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.99, 'e': 0.5619999999999996}",30,7,-38.53422380265612,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 0}",1
215,False,"{'a': 0.99, 'e': 0.5599999999999996}",20,14,12.598591625276356,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.99, 'e': 0.5579999999999996}",30,8,-24.663484301901956,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
217,False,"{'a': 0.99, 'e': 0.5559999999999996}",30,0,-165.28885057582133,"{0: 20, 1: 4, 2: 1, 3: 2, 4: 3}",0
218,False,"{'a': 0.99, 'e': 0.5539999999999996}",30,0,-49.9760193771658,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
219,False,"{'a': 0.99, 'e': 0.5519999999999996}",20,11,-88.59659477972906,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 2}",1
220,False,"{'a': 0.99, 'e': 0.5499999999999996}",20,0,-57.95205445683278,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
221,False,"{'a': 0.99, 'e': 0.5479999999999996}",25,12,14.450061310557489,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.99, 'e': 0.5459999999999996}",20,10,-2.0515724560069395,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.99, 'e': 0.5439999999999996}",20,0,-35.81492399944291,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
224,False,"{'a': 0.99, 'e': 0.5419999999999996}",25,0,-18.399206741135792,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
